customer_id,first_name,last_name,email,total_items_purchased
883037698491635653,Robert,Ponce,gwalsh@example.net,141
416636781440851074,Kathryn,Campbell,lisajones@example.org,129
105568439268969136,Omar,Jackson,yjohnson@example.org,127
47453050786199672,Andrea,Campbell,nguyenkevin@example.com,125
908236561118101324,Jessica,Moyer,ronaldbuchanan@example.net,124
477720798267676546,John,Smith,jessesoto@example.net,120
547476630659648808,Richard,White,stephanie63@example.org,120
261985261414427932,Kaitlyn,Raymond,jonespamela@example.org,116
442319492566101591,Brenda,Rhodes,meagan49@example.com,107
897154383584823481,Timothy,Walters,melissa38@example.org,100
